N-Negative,N-Positive,Randomizer,Layers,Layer 1,Layer 2,Layer 3,Layer 4,Act - 1,Act -2,Act-3,Act-4,Optimizer,Epoch,Loss,Metric,Accuracy Train,Accuracy Test,Delta,FileName,Total,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971189439,,NN-6C,29072,1,28516,8,547,98%,11%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,1,28522,2,547,98%,33%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.970994771,,NN-6C,29072,3,28515,9,545,98%,25%,1%,1%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,2,28523,1,546,98%,67%,0%,1%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
20000,548,50,1,11,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.971384048,,NN-6C,29072,0,28524,0,548,98%,0%,0%,0%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.7408759,,NN-7A,29072,447,20200,8324,101,71%,5%,82%,10%
548,548,50,1,55,,,,relu,,,,Adam,100,Categorical_CrossEntropy,Accuracy,,0.718978107,,NN-7A,29072,468,19437,9087,80,68%,5%,85%,9%
